,YEAR,CONSTITUENCY,NAME,WINNER,PARTY,GENDER,AGE,CATEGORY,VOTES,ELECTORS,VOTERS,VALID VOTES,TURNOUT,PREDICTED WINNER
125,2006,THEAGARAYA NAGAR,". DHANDAPANI, V.M.",N,IND,M,51,GEN,41,242771,152680,152632,0.6289054293964271,N
126,2006,THOUSAND LIGHTS,". STALIN, M.K.",W,DMK,M,53,GEN,49817,169506,108295,108291,0.6388859391407974,N
127,2006,THOUSAND LIGHTS,. ADHIRAJARAM,N,AIADMK,M,48,GEN,47349,169506,108295,108291,0.6388859391407974,N
128,2006,THOUSAND LIGHTS,". THALAPATHY, M.",N,DMDK,M,30,GEN,5545,169506,108295,108291,0.6388859391407974,N
129,2006,THOUSAND LIGHTS,". SHRI ISHRAYEL MAHESWAR, A",N,LKPT,M,31,GEN,2459,169506,108295,108291,0.6388859391407974,W
130,2006,THOUSAND LIGHTS,". SHIVALINGAM, M.",N,BJP,M,42,SC,1305,169506,108295,108291,0.6388859391407974,N
131,2006,THOUSAND LIGHTS,". PARBAN, D.",N,IND,M,36,GEN,388,169506,108295,108291,0.6388859391407974,N
131,2006,THOUSAND LIGHTS,". PARBAN, D.",N,IND,M,36,GEN,388,169506,108295,108291,0.6388859391407974,N
132,2006,THOUSAND LIGHTS,". SURESH, D.",N,IND,M,34,GEN,233,169506,108295,108291,0.6388859391407974,N
132,2006,THOUSAND LIGHTS,". SURESH, D.",N,IND,M,34,GEN,233,169506,108295,108291,0.6388859391407974,N
133,2006,THOUSAND LIGHTS,. PARTHASARATHY,N,IND,M,48,GEN,228,169506,108295,108291,0.6388859391407974,N
134,2006,THOUSAND LIGHTS,". MAHALINGAM, S.",N,IND,M,38,GEN,183,169506,108295,108291,0.6388859391407974,N
135,2006,THOUSAND LIGHTS,". JAYAKUMAR, T.",N,IND,M,36,GEN,100,169506,108295,108291,0.6388859391407974,N
136,2006,THOUSAND LIGHTS,". NEELAN, G.",N,IND,M,46,GEN,90,169506,108295,108291,0.6388859391407974,W
137,2006,THOUSAND LIGHTS,". DEVARAJAN, G.",N,IND,M,43,GEN,67,169506,108295,108291,0.6388859391407974,W
138,2006,THOUSAND LIGHTS,". KRISHNARAJA, G.",N,IND,M,39,GEN,63,169506,108295,108291,0.6388859391407974,N
139,2006,THOUSAND LIGHTS,". BHAGAVATHI, M.",N,IND,M,25,GEN,62,169506,108295,108291,0.6388859391407974,N
140,2006,THOUSAND LIGHTS,". SELVARAJ, K.",N,IND,M,56,GEN,51,169506,108295,108291,0.6388859391407974,N
141,2006,THOUSAND LIGHTS,". PRABU, T.",N,IND,M,25,GEN,48,169506,108295,108291,0.6388859391407974,N
142,2006,THOUSAND LIGHTS,". MANI, D.",N,IND,M,39,GEN,45,169506,108295,108291,0.6388859391407974,N
