YEAR,CONSTITUENCY,NAME,WINNER,PARTY,GENDER,AGE,CATEGORY,VOTES,ELECTORS,VOTERS,VALID VOTES
2006,THOUSAND LIGHTS,". MURTHY, P.",N,IND,M,36,GEN,21,169506,108295,108291
2006,CHEPAUK,". KARUNANIDHI, M.",W,DMK,M,82,GEN,34188,105252,67082,67082
2006,CHEPAUK,. DAWOON MIAKHAN,N,IND,M,32,GEN,25662,105252,67082,67082
2006,CHEPAUK,". NARAYANASAMY, B.",N,DMDK,M,33,GEN,3681,105252,67082,67082
2006,CHEPAUK,". SIVANESAN, R.N.",N,BJP,M,54,GEN,1124,105252,67082,67082
2006,CHEPAUK,. ELANTHIRUMARAN,N,LKPT,M,38,GEN,669,105252,67082,67082
2006,CHEPAUK,". MOHAMED MEERA, A.",N,IND,M,36,GEN,349,105252,67082,67082
2006,CHEPAUK,. MIA KHAN,N,IND,M,81,GEN,272,105252,67082,67082
2006,CHEPAUK,". SUBRAMANI, N.",N,IND,M,35,GEN,238,105252,67082,67082
2006,CHEPAUK,". KARUNANIDHI, M.",N,IND,M,42,SC,223,105252,67082,67082
2006,CHEPAUK,. DALIT KUDIMAHAN T.D.K.,N,BSP,M,36,SC,105,105252,67082,67082
2006,CHEPAUK,. SAI GANESH,N,IND,M,36,GEN,102,105252,67082,67082
2006,CHEPAUK,". PADMARAJAN, DR. K.",N,IND,M,45,GEN,91,105252,67082,67082
2006,CHEPAUK,". JAFFAR ALI, A",N,IND,M,43,GEN,88,105252,67082,67082
2006,CHEPAUK,". BALAJI VENKATESWARAN,",N,IND,M,43,GEN,69,105252,67082,67082
2006,CHEPAUK,". BALAJI, B.",N,RLD,M,37,GEN,51,105252,67082,67082
2006,CHEPAUK,. RAGHURAMAN,N,IND,M,46,GEN,44,105252,67082,67082
2006,CHEPAUK,". AMEEDIUS, G.",N,IND,M,42,GEN,35,105252,67082,67082
2006,CHEPAUK,". SATHYAVELU, M.",N,IND,M,34,GEN,34,105252,67082,67082
2006,CHEPAUK,". VENUGOPAL, D.V.",N,IND,M,33,GEN,30,105252,67082,67082
2006,CHEPAUK,". SUBBIAH, J.",N,IND,M,32,GEN,27,105252,67082,67082
2006,TRIPLICANE,. BADER SAYEED,W,AIADMK,F,59,GEN,40404,132523,85505,85504
2006,TRIPLICANE,". NAGANATHAN, M.",N,DMK,M,58,GEN,37628,132523,85505,85504
2006,TRIPLICANE,". SHIVAKUMAR, K.",N,DMDK,M,34,GEN,4834,132523,85505,85504
2006,TRIPLICANE,". SATHISH KUMAR, S.",N,BJP,M,37,GEN,1631,132523,85505,85504
2006,TRIPLICANE,". VIVEKANANDAN, R.",N,IND,M,25,GEN,319,132523,85505,85504
2006,TRIPLICANE,". SARAVANAN, K.",N,BSP,M,36,SC,181,132523,85505,85504
2006,TRIPLICANE,". SRINIVASAN, R.",N,IND,M,41,GEN,144,132523,85505,85504
2006,TRIPLICANE,". SASIKUMAR, S.",N,IND,M,31,GEN,134,132523,85505,85504
2006,TRIPLICANE,". SANTHANAM, M.",N,IND,M,32,GEN,123,132523,85505,85504
2006,TRIPLICANE,". SHANMUGAM, P.",N,IND,M,44,SC,106,132523,85505,85504
